algorithm,deletion_ratio,deletion_time,num_deleted,num_affected_entities,approximation_error
ISR,0.001,2.845640182495117,76,146,0.03703978723891206
ISR,0.005,6.196830987930298,382,707,0.08244007823688095
ISR,0.01,9.627465009689331,764,1360,0.0581971319668303
ISR,0.05,25.436819791793823,3820,4923,0.030359323756413564
ISR,0.1,37.72554016113281,7641,7347,0.04575628848319545
